GEO_ID,NAME,S1903_C01_001E,S1903_C02_001E,S1903_C01_002E,S1903_C02_002E,S1903_C01_003E,S1903_C02_003E,S1903_C01_005E,S1903_C02_005E,S1903_C01_009E,S1903_C02_009E,S1903_C01_010E,S1903_C02_010E
Geography,Geographic Area Name,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!One race!!White,Median income (dollars)!!Estimate!!One race!!White,Total!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Black or African American,Total!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!One race!!Asian,Total!!Estimate!!Hispanic or Latino origin (of any race),Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino"
1400000US48113000100,"Census Tract 1, Dallas County, Texas",1872,72375,83.4,86579,5,25917,2.4,39659,10.6,65203,77.9,95417
1400000US48113000201,"Census Tract 2.01, Dallas County, Texas",1423,106157,94.8,102232,0,-,2.4,154135,6,89514,90.1,101250
1400000US48113000202,"Census Tract 2.02, Dallas County, Texas",1863,77179,89.7,85208,1.9,39375,2.5,16597,10.8,57045,81.2,88000
1400000US48113000300,"Census Tract 3, Dallas County, Texas",1994,82917,92.4,87008,0.6,-,2,-,20.1,68542,76.6,93177
1400000US48113000401,"Census Tract 4.01, Dallas County, Texas",1135,36772,38.8,47200,4.6,41214,17,30352,50.6,31726,23.1,61429
1400000US48113000404,"Census Tract 4.04, Dallas County, Texas",1744,42500,63,53313,0,-,9.1,54896,35.8,24467,50.2,60714
1400000US48113000405,"Census Tract 4.05, Dallas County, Texas",1094,21756,36.6,20761,29.3,15625,8.1,24141,34.3,25052,23.8,22065
1400000US48113000406,"Census Tract 4.06, Dallas County, Texas",2133,32546,35.3,45300,0.5,"2,500-",14.1,39219,71.8,30833,13.6,49583
1400000US48113000500,"Census Tract 5, Dallas County, Texas",2496,47928,73,52282,10.9,11703,3,50179,27.4,22575,57.4,63988
1400000US48113000601,"Census Tract 6.01, Dallas County, Texas",2617,43975,59.7,50094,8.9,43367,4.4,58661,39.2,32987,44,54297
1400000US48113000603,"Census Tract 6.03, Dallas County, Texas",2503,67962,88.6,69919,5.2,80060,1.6,130729,9.4,52163,81.8,67581
1400000US48113000605,"Census Tract 6.05, Dallas County, Texas",1575,68491,63.9,76125,15.6,66020,6.8,103523,7.5,87333,61.7,75768
1400000US48113000606,"Census Tract 6.06, Dallas County, Texas",2048,100914,90.6,101276,2,39674,4,100199,5.3,104138,86.4,100357
1400000US48113000701,"Census Tract 7.01, Dallas County, Texas",2455,97361,89,96821,1.5,"250,000+",6.4,62196,8.1,88611,83.1,101437
1400000US48113000702,"Census Tract 7.02, Dallas County, Texas",2047,58792,83.5,55804,1.5,19706,4.1,232642,20.3,58167,73.4,57411
1400000US48113000800,"Census Tract 8, Dallas County, Texas",2270,33805,58.7,40236,14.8,9819,2.5,61635,54.5,27750,29.5,49438
1400000US48113000900,"Census Tract 9, Dallas County, Texas",1748,30911,76.3,31702,0,-,5.2,18317,59.8,21835,35,45024
1400000US48113001001,"Census Tract 10.01, Dallas County, Texas",833,70819,95.4,71509,0,-,0,-,16.2,44583,83.2,71681
1400000US48113001002,"Census Tract 10.02, Dallas County, Texas",940,52136,78.6,53271,0,-,5.6,57454,38.3,46500,55.4,53313
1400000US48113001101,"Census Tract 11.01, Dallas County, Texas",1743,65020,87.6,70806,0,-,2.1,53555,22.6,32955,72.6,80492
1400000US48113001102,"Census Tract 11.02, Dallas County, Texas",1122,80000,88,76635,1.3,-,0.9,-,10.3,82045,81.8,75385
1400000US48113001202,"Census Tract 12.02, Dallas County, Texas",1498,33081,70.8,40845,17.2,30065,4.8,20547,27.4,24447,50.2,61333
